LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Сотниченко;8a1/4b.jpg;Сергей;Александрович;администратор;s.sotnichenko@example.com;16.06.1974;M;263-85-73;13;345-85-54;146-844-831;s.sotnichenko;Калининградский филиал;Администрация;;
Рябкова;70c/1b.jpg;Наталья;Игоревна;администратор;n.ryabkova@example.com;17.06.1978;F;434-74-71;14;360-73-52;673-832-721;n.ryabkova;Калининградский филиал;Администрация;;
Сошникова;ef3/2b.jpg;Марина;Борисовна;администратор;m.soshnikova@example.com;18.06.1980;F;653-73-22;14;415-52-61;267-211-611;m.soshnikova;Калининградский филиал;Администрация;;
Русаков;013/71471675.gif;Антон;Николаевич;администратор;a.rusakov@example.com;19.06.1976;M;435-73-72;15;569-32-32;520-834-752;a.rusakov;Калининградский филиал;Администрация;;
Рябков;88a/6b.jpg;Николай;Сергеевич;заместитель директора;n.ryabkov@example.com;20.06.1980;M;439-78-33;16;874-74-94;652-343-719;n.ryabkov;Калининградский филиал;Администрация;;
Савельев;65e/7b.jpg;Олег;Владимирович;администратор;o.savelev@example.com;21.06.1977;M;526-83-52;17;432-55-74;167-732-722;o.savelev;Калининградский филиал;Администрация;;
Тихонов;626/8b.jpg;Алексей;Алексеевич;администратор;a.tihonov@example.com;22.06.1981;M;426-75-22;18;524-63-21;257-343-832;a.tihonov;Калининградский филиал;Администрация;;
Щебелев;696/200516576-001.gif;Георгий;Георгиевич;менеджер;g.schebelev@example.com;21.04.1981;M;367-23-75;263;835-37-43;285-476-953;g.schebelev;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Яснов;b78/200477707-001.gif;Егор;Юрьевич;менеджер;e.yasnov@example.com;22.04.1983;M;275-85-24;937;125-12-64;643-674-232;e.yasnov;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Решетников;659/200491503-003.gif;Матвей;Иванович;менеджер;m.reshetnikov@example.com;23.04.1982;M;753-86-23;729;642-23-17;745-346-272;m.reshetnikov;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Оськин;920/200130455-001.gif;Василий;Ярославович;менеджер;v.oskin@example.com;24.04.1981;M;648-42-12;618;125-71-33;943-722-165;v.oskin;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Пантюхин;f03/5b.jpg;Михаил;Игоревич;менеджер;m.pantyuhin@example.com;25.04.1979;M;734-27-87;86;335-76-23;755-472-184;m.pantyuhin;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Петрова;79e/1b.jpg;Антонина;Александровна;менеджер;a.petrova@example.com;26.04.1983;F;373-13-16;622;524-44-63;875-231-135;a.petrova;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Саламатина;100/2b.jpg;Инна;Вячеславовна;менеджер;i.salamatina@example.com;27.04.1984;F;274-85-23;725;493-26-86;835-517-387;i.salamatina;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Степухин;0f5/6b.jpg;Леонид;Игоревич;менеджер;l.stepuhin@example.com;28.04.1985;M;647-78-43;356;848-27-59;483-837-284;l.stepuhin;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Федянин;7f6/73828045.gif;Александр;Федорович;менеджер;a.fedyanin@example.com;29.04.1978;M;274-85-23;638;372-86-34;882-464-892;a.fedyanin;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Ахряпов;830/8b.jpg;Илья;Григориевич;менеджер;i.ahryapov@example.com;30.04.1982;M;285-24-17;830;639-83-95;374-906-038;i.ahryapov;Калининградский филиал;Производственный отдел;Студия аудио-видеопроизводства;
Барановский;72b/9b.jpg;Тимофей;Тимофеевич;менеджер;t.baranovskij@example.com;01.05.1981;M;175-83-83;375;846-26-47;482-573-275;t.baranovskij;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Леонов;fd6/200116983-002.gif;Алексей;Максимович;менеджер;a.leonov@example.com;02.05.1983;M;164-97-25;925;437-27-84;285-289-366;a.leonov;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Ляков;134/11b.jpg;Илья;Викторович;менеджер;i.lyakov@example.com;03.04.1978;M;484-27-46;289;387-28-29;164-863-126;i.lyakov;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Панкратьев;40c/72983580.gif;Кирилл;Георгиевич;менеджер;k.pankratev@example.com;04.04.1982;M;458-43-67;286;438-54-98;243-576-568;k.pankratev;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Понтрягин;02f/13b.jpg;Александр;Романович;менеджер;a.pontryagin@example.com;04.05.1982;M;387-39-04;386;643-59-45;458-326-296;a.pontryagin;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Сыропоршнев;4f9/14b.jpg;Максим;Кириллович;менеджер;m.syroporshnev@example.com;05.05.1982;M;375-87-86;338;932-65-97;385-553-845;m.syroporshnev;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Хрушкий;8f7/15b.gif;Максим;Максимович;менеджер;m.hrushkij@example.com;06.05.1979;M;486-89-26;924;385-73-85;386-757-723;m.hrushkij;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Ярошкин;d5e/73828711.gif;Вячеслав;Романович;менеджер;v.yaroshkin@example.com;07.05.1983;M;486-28-12;893;486-64-23;528-865-286;v.yaroshkin;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Попов;549/200472780-001.gif;Алексей;Сергеевич;менеджер;a.popov@example.com;08.05.1981;M;724-17-31;874;835-93-25;387-383-264;a.popov;Калининградский филиал;Производственный отдел;Сектор разработки ПО;
Алаев;5c8/18b.jpg;Аркадий;Станиславович;менеджер;a.alaev@example.com;09.05.1982;M;285-35-26;572;835-28-54;854-286-970;a.alaev;Калининградский филиал;Производственный отдел;Технологический сектор;
Дедов;444/19b.jpg;Григорий;Валериевич;менеджер;g.dedov@example.com;10.05.1981;M;375-57-23;721;396-38-75;287-457-875;g.dedov;Калининградский филиал;Производственный отдел;Технологический сектор;
Ломовцев;6c3/73828662.gif;Георгий;Алексеевич;менеджер;g.lomovcev@example.com;11.05.1984;M;167-38-95;291;275-83-13;853-187-873;g.lomovcev;Калининградский филиал;Производственный отдел;Технологический сектор;
Недовесов;bf4/200529111-001.gif;Михаил;Евгениевич;менеджер;m.nedovesov@example.com;12.05.1982;M;164-86-26;389;853-86-38;;m.nedovesov;Калининградский филиал;Производственный отдел;Технологический сектор;
Пакулин;e24/22b.jpg;Игорь;Виталиевич;менеджер;i.pakulin@example.com;13.05.1979;M;286-56-37;749;729-73-96;846-936-058;i.pakulin;Калининградский филиал;Производственный отдел;Технологический сектор;
Скугарев;79f/200516029-001.gif;Виталий;Аркадиевич;менеджер;v.skugarev@example.com;14.05.1978;M;285-84-37;285;496-28-25;583-276-297;v.skugarev;Калининградский филиал;Производственный отдел;Технологический сектор;
Тришкин;2fb/200020197-003.gif;Роман;Сергеевич;менеджер;r.trishkin@example.com;15.05.1982;M;176-93-58;583;832-22-86;583-124-963;r.trishkin;Калининградский филиал;Производственный отдел;Технологический сектор;
Доверов;cd3/BD9341-001.gif;Лев;Егорович;менеджер;l.doverov@example.com;16.05.1981;M;275-37-97;482;286-28-13;175-357-138;l.doverov;Калининградский филиал;Производственный отдел;Технологический сектор;
Каёхтин;010/26b.jpg;Юрий;Николаевич;менеджер;yu.kaehtin@example.com;17.05.1981;M;175-57-64;285;793-72-35;176-396-174;yu.kaehtin;Калининградский филиал;Производственный отдел;Технологический сектор;
Листратов;5e9/200477633-001.gif;Василий;Тимофеевич;менеджер;v.listratov@example.com;18.05.1978;M;276-65-43;936;386-63-32;395-864-285;v.listratov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Скрябин;76a/28b.jpg;Виктор;Антонович;инженер;v.skryabin@example.com;19.05.1982;M;164-56-12;451;583-75-26;462-482-793;v.skryabin;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Гамаюнов;78a/29b.jpg;Игорь;Данилович;инженер;i.gamayunov@example.com;20.05.1978;M;179-93-75;495;583-98-24;836-927-025;i.gamayunov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Харламов;90d/200526832-001.gif;Илья;Иванович;инженер;i.harlamov@example.com;21.05.1980;M;176-94-37;591;491-92-83;502-366-583;i.harlamov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Цуканов;b13/31b.jpg;Петр;Станиславович;инженер;p.cukanov@example.com;22.05.1983;M;185-00-56;185;725-75-13;872-909-433;p.cukanov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Яфаров;dc9/200524150-001.gif;Игорь;Алексеевич;инженер;i.yafarov@example.com;23.05.1984;M;167-64-95;943;473-24-89;286-325-843;i.yafarov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Воронин;65f/200393557-001.gif;Анатолий;Федорович;инженер;a.voronin@example.com;24.05.1979;M;835-37-12;186;338-24-16;753-864-246;a.voronin;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Недогонов;8fd/200331832-001.gif;Олег;Иванович;инженер;o.nedogonov@example.com;25.05.1982;M;165-38-93;484;573-24-87;583-976-357;o.nedogonov;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Нагаев;29f/35b.jpg;Аркадий;Сергеевич;инженер;a.nagaev@example.com;26.05.1981;M;175-49-32;480;415-47-24;853-437-925;a.nagaev;Калининградский филиал;Производственный отдел;Конструкторский сектор;
Ольховский;9bb/36b.jpg;Александр;Павлович;охранник;a.olhovskij@example.com;27.05.1982;M;164-89-12;645;377-24-89;435-687-432;a.olhovskij;Калининградский филиал;Отдел службы безопасности;;
Юкин;45b/37b.jpg;Павел;Степанович;охранник;p.yukin@example.com;28.05.1980;M;167-85-23;476;483-32-65;865-234-165;p.yukin;Калининградский филиал;Отдел службы безопасности;;
Якунькин;b57/38b.jpg;Юрий;Антонович;охранник;yu.yakunkin@example.com;29.05.1986;M;165-87-23;473;275-26-45;864-246-987;yu.yakunkin;Калининградский филиал;Отдел службы безопасности;;
Тришечкин;e33/39b.jpg;Петр;Романович;охранник;p.trishechkin@example.com;30.05.1981;M;376-34-27;463;458-23-74;573-637-678;p.trishechkin;Калининградский филиал;Отдел службы безопасности;;
Бывших;f23/200479749-001.gif;Виктор;Викторович;охранник;v.byvshih@example.com;31.05.1980;M;198-37-79;276;473-27-26;472-865-237;v.byvshih;Калининградский филиал;Отдел службы безопасности;;
Голицын;13b/41b.jpg;Никита;Матвеевич;охранник;n.golicyn@example.com;01.06.1982;M;177-27-78;487;893-58-95;247-972-285;n.golicyn;Калининградский филиал;Отдел службы безопасности;;
Скосарев;4ff/43b.jpg;Василий;Андреевич;охранник;v.skosarev@example.com;02.06.1978;M;468-72-46;248;397-53-76;874-047-865;v.skosarev;Калининградский филиал;Отдел службы безопасности;;
Стахеев;31c/200130154-002.gif;Игорь;Данилович;юрист;i.staheev@example.com;03.06.1980;M;186-37-86;684;596-23-87;835-286-294;i.staheev;Калининградский филиал;Юридический отдел;;
Топоров;d20/46b.jpg;Илья;Егорович;юрист;i.toporov@example.com;04.06.1980;M;170-59-34;863;693-98-46;896-324-932;i.toporov;Калининградский филиал;Юридический отдел;;
Шушлебин;ae2/200267626-001.gif;Василий;Василиевич;юрист;v.shushlebin@example.com;05.06.1983;M;748-27-43;835;873-32-92;582-457-834;v.shushlebin;Калининградский филиал;Юридический отдел;;
Чайкин;5bc/48b.jpg;Степан;Юрьевич;юрист;s.chajkin@example.com;06.06.1982;M;286-83-86;942;484-89-43;376-498-335;s.chajkin;Калининградский филиал;Юридический отдел;;
Недотыкина;2f4/3b.jpg;Галина;Анатолиевна;юрист;g.nedotykina@example.com;07.06.1983;F;845-28-23;972;489-65-64;487-976-393;g.nedotykina;Калининградский филиал;Юридический отдел;;
Уланова;5f9/4b.jpg;Елизавета;Георгиевна;юрист;e.ulanova@example.com;08.06.1983;F;943-73-36;754;872-43-26;734-267-456;e.ulanova;Калининградский филиал;Юридический отдел;;
Фалилеева;51c/5b.jpg;Любовь;Кирилловна;менеджер;l.falileeva@example.com;09.06.1982;F;373-76-23;742;487-34-16;743-674-365;l.falileeva;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Якушова;f85/6b.jpg;Виктория;Валериевна;менеджер;v.yakushova@example.com;10.06.1982;F;167-43-98;693;597-34-82;475-346-187;v.yakushova;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Батракова;a7b/200477998-001.gif;Алла;Алексеевна;менеджер;a.batrakova@example.com;11.06.1983;F;165-09-23;837;486-32-87;894-345-887;a.batrakova;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Беглова;249/8b.jpg;Василиса;Валериевна;менеджер;v.beglova@example.com;12.06.1983;F;287-58-93;42;486-49-21;386-432-224;v.beglova;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Калюгина;5f5/9b.jpg;Анна;Сергеевна;менеджер;a.kalyugina@example.com;13.06.1979;F;377-24-81;387;589-64-24;741-729-405;a.kalyugina;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Михалищева;936/10b.jpg;Зоя;Борисовна;менеджер;z.mihalischeva@example.com;14.06.1984;F;186-84-23;813;398-43-12;628-532-135;z.mihalischeva;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Наволоцкий;158/49b.jpg;Андрей;Петрович;менеджер;a.navolockij@example.com;15.06.1983;M;169-34-27;724;823-72-47;275-211-372;a.navolockij;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Окладникова;b25/73674853.gif;Татьяна;Матвеевна;менеджер;t.okladnikova@example.com;16.06.1984;F;275-84-23;735;724-27-82;482-472-131;t.okladnikova;Калининградский филиал;Финансовый отдел;Отдел контрольно-ревизионной работы;
Петрикова;844/12b.jpg;Анна;Юрьевна;менеджер;a.petrikova@example.com;17.06.1981;F;177-35-27;184;437-24-22;683-264-832;a.petrikova;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Селивантьева;2dc/13b.jpg;Ольга;Матвеевна;бухгалтер;o.selivanteva@example.com;18.06.1979;F;328-67-23;214;352-84-27;173-275-395;o.selivanteva;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Тебенькова;1ed/14b.jpg;Дарья;Василиевна;бухгалтер;d.tebenkova@example.com;19.06.1982;F;287-57-44;486;296-27-84;384-355-443;d.tebenkova;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Тимина;c9a/72625954.gif;Юлия;Степановна;бухгалтер;yu.timina@example.com;20.06.1979;F;486-46-83;265;399-53-95;499-234-132;yu.timina;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Узлова;e16/16b.jpg;Екатерина;Вячеславовна;бухгалтер;e.uzlova@example.com;21.06.1983;F;387-12-68;931;483-13-76;487-121-372;e.uzlova;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Фадеева;bb3/18b.jpg;Ксения;Егоровна;бухгалтер;k.fadeeva@example.com;22.06.1981;F;439-23-63;164;734-38-52;253-826-967;k.fadeeva;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Черняева;03b/19b.jpg;Дарья;Вячеславовна;бухгалтер;d.chernyaeva@example.com;23.06.1984;F;175-76-90;690;387-38-85;904-376-093;d.chernyaeva;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Бершадская;f0e/20b.jpg;Евгения;Вячеславовна;бухгалтер;e.bershadskaya@example.com;24.06.1982;F;165-97-23;833;683-24-85;275-376-286;e.bershadskaya;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Бражникова;946/21b.jpg;Мария;Николаевна;бухгалтер;m.brazhnikova@example.com;25.06.1980;F;275-98-03;280;572-48-72;286-546-232;m.brazhnikova;Калининградский филиал;Финансовый отдел;Бухгалтерия;
Севастьянов;5c6/1b.jpg;Евгений;Андреевич;администратор;e.sevastyanov@example.com;23.06.1976;M;546-62-76;435;346-13-72;418-522-832;e.sevastyanov;Новосибирский филиал;Администрация;;
Братухина;38f/72334827.gif;Надежда;Павловна;менеджер;n.bratuhina@example.com;26.06.1983;F;185-38-46;741;743-75-82;784-844-864;n.bratuhina;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Седов;531/2b.jpg;Всеволод;Александрович;директор;v.sedov@example.com;24.06.1970;M;645-72-21;267;546-83-78;667-763-221;v.sedov;Новосибирский филиал;Администрация;;
Голованев;a6f/200394797-0041.gif;Олег;Павлович;менеджер;o.golovanev@example.com;27.06.1983;M;287-37-87;748;375-83-23;853-267-126;o.golovanev;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Недоносков;87a/51b.jpg;Ярослав;Станиславович;менеджер;ya.nedonoskov@example.com;28.06.1982;M;286-83-35;75;746-23-86;587-423-623;ya.nedonoskov;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Уткин;e97/3b.jpg;Иван;Андреевич;администратор;i.utkin@example.com;25.06.1974;M;656-94-54;437;542-96-54;622-762-672;i.utkin;Новосибирский филиал;Администрация;;
Оплетаев;b73/200525319-001.gif;Андрей;Сергеевич;менеджер;a.opletaev@example.com;29.06.1983;M;276-38-35;812;483-38-67;845-322-763;a.opletaev;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Поскребышев;651/200117007-002.gif;Антон;Тимофеевич;менеджер;a.poskrebyshev@example.com;30.06.1980;M;275-97-12;868;458-69-34;875-241-834;a.poskrebyshev;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Харин;cdf/4b.jpg;Сергей;Алексеевич;администратор;s.harin@example.com;26.06.1976;M;664-87-95;452;265-65-85;466-843-835;s.harin;Новосибирский филиал;Администрация;;
Собинов;c3f/55b.jpg;Дмитрий;Владимирович;менеджер;d.sobinov@example.com;01.07.1980;M;175-38-345;532;486-75-24;754-245-364;d.sobinov;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Трошин;0bb/42-17842521.gif;Сергей;Владимирович;администратор;s.troshin@example.com;27.06.1978;M;768-84-84;450;845-09-73;546-984-323;s.troshin;Новосибирский филиал;Администрация;;
Тихвинцев;b90/200300246-001.gif;Григорий;Владимирович;менеджер;g.tihvincev@example.com;02.07.1983;M;274-37-43;672;855-98-54;734-867-322;g.tihvincev;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Фомочкин;0f3/73021884.gif;Григорий;Геннадиевич;менеджер;g.fomochkin@example.com;03.07.1983;M;165-84-23;81;475-86-46;854-325-876;g.fomochkin;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Шиндяпов;b30/58b.jpg;Алексей;Александрович;менеджер;a.shindyapov@example.com;04.07.1982;M;165-89-56;865;568-34-76;873-123-532;a.shindyapov;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Середин;ca0/7b.jpg;Алексей;Владимирович;заместитель директора;a.seredin@example.com;28.06.1974;M;995-66-53;544;456-79-56;669-555-877;a.seredin;Новосибирский филиал;Администрация;;
Южаков;bbc/57640936.gif;Николай;Сергеевич;менеджер;n.yuzhakov@example.com;05.07.1983;M;276-89-23;515;573-37-87;532-764-231;n.yuzhakov;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Ситник;e8a/7b.jpg;Василий;Владимирович;администратор;v.sitnik@example.com;29.06.1975;M;;;;;v.sitnik;Новосибирский филиал;Администрация;;
Ярмолинцев;884/200463331-002.gif;Василий;Матвеевич;менеджер;v.yarmolincev@example.com;06.07.1982;M;165-37-86;478;575-98-34;473-236-874;v.yarmolincev;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Бабанин;b3c/61b.jpg;Леонид;Евгениевич;менеджер;l.babanin@example.com;07.07.1982;M;274-24-86;52;754-97-32;285-38-83;l.babanin;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Сошников;d41/8b.jpg;Алексей;Сергеевич;администратор;a.soshnikov@example.com;30.06.1980;M;223-72-76;701;549-95-45;548-529-418;a.soshnikov;Новосибирский филиал;Администрация;;
Бутаков;6e3/62b.jpg;Аркадий;Антонович;менеджер;a.butakov@example.com;08.07.1980;M;186-84-12;867;486-98-34;346-963-987;a.butakov;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Истратов;df4/63b.jpg;Петр;Егорович;менеджер;p.istratov@example.com;09.07.1982;M;439-34-28;673;842-42-98;487-324-823;p.istratov;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Кабицкий;d8f/64b.jpg;Роман;Игоревич;менеджер;r.kabickij@example.com;10.07.1979;M;176-89-34;759;592-36-97;296-545-754;r.kabickij;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Мармазинский;d23/65b.jpg;Тимофей;Матвеевич;менеджер;t.marmazinskij@example.com;11.07.1983;M;176-46-24;471;755-86-46;684-244-744;t.marmazinskij;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Старостин;fa2/9b.jpg;Анатолий;Сергеевич;администратор;a.starostin@example.com;01.07.1971;M;546-83-83;262;635-84-98;622-722-762;a.starostin;Новосибирский филиал;Администрация;;
Теленков;3a8/10b.jpg;Андрей;Евгеньевич;администратор;a.telenkov@example.com;02.07.1978;M;356-84-94;753;542-85-83;468-843-721;a.telenkov;Новосибирский филиал;Администрация;;
Патраков;3d0/66b.jpg;Николай;Кириллович;менеджер;n.patrakov@example.com;12.07.1981;M;165-47-84;580;432-23-15;745-231-132;n.patrakov;Калининградский филиал;ИТ-отдел;Служба программной поддержки;
Тишутин;70b/11b.jpg;Олег;Станиславович;конструктор;o.tishutin@example.com;03.07.1978;M;633-83-72;260;638-84-72;268-782-786;o.tishutin;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Попышев;b36/67b.jpg;Анатолий;Станиславович;менеджер;a.popyshev@example.com;13.07.1982;M;167-54-37;520;473-35-89;573-684-255;a.popyshev;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Соколов;d68/73607873.gif;Евгений;Вячеславович;менеджер;e.sokolov@example.com;14.07.1983;M;175-37-23;588;547-34-84;463-875-235;e.sokolov;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Торлопов;8cf/69b.jpg;Леонид;Кириллович;менеджер;l.torlopov@example.com;15.07.1977;M;154-67-34;722;154-42-45;456-674-234;l.torlopov;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Тормасов;7b7/70b.jpg;Матвей;Львович;менеджер;m.tormasov@example.com;16.07.1985;M;375-37-74;571;563-23-35;374-634-231;m.tormasov;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Финяев;de4/71b.jpg;Вячеслав;Виталиевич;менеджер;v.finyaev@example.com;17.07.1982;M;165-47-32;652;375-34-67;563-674-236;v.finyaev;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Лойко;c38/1b.jpg;Мария;Осиповна;конструктор;m.lojko@example.com;04.07.1978;F;674-83-83;470;562-89-83;431-834-216;m.lojko;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Цубатов;bc8/72b.jpg;Павел;Сергеевич;инженер;p.cubatov@example.com;18.07.1983;M;165-75-23;872;547-34-87;745-243-624;p.cubatov;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Южин;096/73b.jpg;Олег;Станиславович;менеджер;o.yuzhin@example.com;19.07.1985;M;199-45-97;902;753-34-76;495-289-490;o.yuzhin;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Ярилин;216/74b.jpg;Вадим;Леонидович;менеджер;v.yarilin@example.com;20.07.1983;M;165-46-37;675;463-67-34;864-234-724;v.yarilin;Калининградский филиал;ИТ-отдел;Служба технической поддержки;
Ярилов;743/75b.jpg;Валентин;Львович;менеджер;v.yarilov@example.com;21.07.1983;M;154-75-32;745;435-76-34;764-345-974;v.yarilov;Калининградский филиал;ИТ-отдел;Служба защиты информации;
Бабок;f18/2b.jpg;Наталья;Валентиновна;конструктор;n.babok@example.com;05.07.1978;F;652-98-83;901;399-51-45;644-954-945;n.babok;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Грошев;b12/12b.jpg;Андрей;Геннадьевич;конструктор;a.groshev@example.com;06.07.1980;M;438-73-72;168;256-82-83;511-782-221;a.groshev;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Груздев;152/13b.jpg;Данил;Вячеславович;конструктор;d.gruzdev@example.com;07.07.1978;M;567-78-83;678;653-83-94;672-834-332;d.gruzdev;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Данилов;68d/14b.jpg;Леонид;Иванович;конструктор;l.danilov@example.com;08.07.1976;M;653-73-73;524;567-84-83;622-833-821;l.danilov;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Дорофеев;bf8/42-17703660.gif;Геннадий;Алексеевич;конструктор;g.dorofeev@example.com;09.07.1978;M;567-32-73;368;547-73-83;379-832-832;g.dorofeev;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Дроздов;794/200479221-001.gif;Александр;Юрьевич;конструктор;a.drozdov@example.com;10.07.1980;M;633-83-94;369;622-83-43;628-832-832;a.drozdov;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Елсуков;9a2/73122053.gif;Евгений;Петрович;главный конструктор;e.elsukov@example.com;11.07.1976;M;333-83-83;675;688-83-94;617-832-832;e.elsukov;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Кленицкий;ed6/18b.jpg;Дмитрий;Викентьевич;конструктор;d.klenickij@example.com;12.07.1975;M;620-56-93;546;567-83-93;278-832-322;d.klenickij;Новосибирский филиал;Производственный отдел;Конструкторский сектор;
Мадьяров;635/200507598-001.gif;Владимир;Рафкатович;дизайнер;v.madyarov@example.com;13.07.1976;M;567-84-83;667;844-84-43;622-983-832;v.madyarov;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Мисевич;aac/42-18010717.gif;Алексей;Васильевич;дизайнер;a.misevich@example.com;14.07.1975;M;722-94-94;156;629-94-94;733-893-833;a.misevich;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Жаркевич;6e5/21b.jpg;Андрей;Владимирович;дизайнер;a.zharkevich@example.com;15.07.1969;M;;;;;a.zharkevich;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Тульев;571/22b.jpg;Валентин;Валентинович;дизайнер;v.tulev@example.com;16.07.1978;M;680-83-94;789;880-43-63;898-833-828;v.tulev;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Булай;a17/3b.jpg;Ольга;Олеговна;дизайнер;o.bulaj@example.com;17.07.1978;F;564-943-784;773;544-84-33;633-832-832;o.bulaj;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Волошина;058/4b.jpg;Любовь;Васильевна;дизайнер;l.voloshina@example.com;18.07.1976;F;954-94-52;749;733-90-83;622-721-858;l.voloshina;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Евстафьева;655/5b.jpg;Алеся;Анатольевна;дизайнер;a.evstafeva@example.com;19.07.1978;F;736-84-94;338;348-83-32;793-943-228;a.evstafeva;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Зеркина;d5c/stk147530rke.gif;Елена;Семеновна;дизайнер;e.zerkina@example.com;20.07.1980;F;356-83-93;579;764-89-84;279-943-944;e.zerkina;Новосибирский филиал;Производственный отдел;Отдел дизайна;
Зорина;ba5/7b.jpg;Наталья;Александровна;дизайнер;n.zorina@example.com;21.07.1978;F;843-94-93;738;657-65-94;379-944-944;n.zorina;Новосибирский филиал;Производственный отдел;Отдел дизайна;
